State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Calls,Eve Calls,Night Calls,Intl Calls,CustServ Calls
KS,128,415,382-4657,no,yes,25,110,99,91,3,1
OH,107,415,371-7191,no,yes,26,123,103,103,3,1
NJ,137,415,358-1921,no,no,0,114,110,104,5,0
OH,84,408,375-9999,yes,no,0,71,88,89,7,2
OK,75,415,330-6626,yes,no,0,113,122,121,3,3
AL,118,510,391-8027,yes,no,0,98,101,118,6,0
MA,121,510,355-9993,no,yes,24,88,108,118,7,3
MO,147,415,329-9001,yes,no,0,79,94,96,6,0
LA,117,408,335-4719,no,no,0,97,80,90,4,1
WV,141,415,330-8173,yes,yes,37,84,111,97,5,0
IN,65,415,329-6603,no,no,0,137,83,111,6,4
RI,74,415,344-9403,no,no,0,127,148,94,5,0
IA,168,408,363-1107,no,no,0,96,71,128,2,1
MT,95,510,394-8006,no,no,0,88,75,115,5,3
IA,62,415,366-9238,no,no,0,70,76,99,6,4
NY,161,415,351-7269,no,no,0,67,97,128,9,4
ID,85,408,350-8884,no,yes,27,139,90,75,4,1
VT,93,510,386-2923,no,no,0,114,111,121,3,3
VA,76,510,356-2992,no,yes,33,66,65,108,5,1
TX,73,415,373-2782,no,no,0,90,88,74,2,1
FL,147,415,396-5800,no,no,0,117,93,133,4,0
CO,77,408,393-7984,no,no,0,89,121,64,6,5
AZ,130,415,358-1958,no,no,0,112,99,78,19,0
SC,111,415,350-2565,no,no,0,103,102,105,6,2
VA,132,510,343-4696,no,no,0,86,72,115,2,0
NE,174,415,331-3698,no,no,0,76,112,115,5,3
WY,57,408,357-3817,no,yes,39,115,112,115,3,0
MT,54,408,418-6412,no,no,0,73,100,68,4,3
MO,20,415,353-2630,no,no,0,109,84,102,6,0
HI,49,510,410-7789,no,no,0,117,109,90,1,1
IL,142,415,416-8428,no,no,0,95,63,148,6,2
NH,75,510,370-3359,no,no,0,105,107,98,5,1
LA,172,408,383-1121,no,no,0,121,115,78,10,3
AZ,12,408,360-1596,no,no,0,118,119,90,3,1
OK,57,408,395-2854,no,yes,25,94,75,116,4,0
GA,72,415,362-1407,no,yes,37,80,102,71,6,3
AK,36,408,341-9764,no,yes,30,128,80,109,6,0
MA,78,415,353-3305,no,no,0,64,116,108,5,1
AK,136,415,402-1381,yes,yes,33,106,99,107,6,3
NJ,149,408,332-9891,no,no,0,94,92,108,9,1
GA,98,408,372-9976,no,no,0,102,85,135,2,3
MD,135,408,383-6029,yes,yes,41,85,107,78,15,0
AR,34,510,353-7289,no,no,0,82,98,78,4,2
ID,160,415,390-7274,no,no,0,77,110,92,4,3
WI,64,510,352-1237,no,no,0,67,118,86,3,1
OR,59,408,353-3061,no,yes,28,97,92,116,5,2
MI,65,415,363-5450,no,no,0,120,122,118,5,3
DE,142,408,364-1995,no,no,0,133,74,127,5,2
ID,119,415,398-1294,no,no,0,114,117,91,3,5
WY,97,415,405-7146,no,yes,24,135,58,79,3,1
IA,52,408,413-4957,no,no,0,108,96,87,5,3
IN,60,408,420-5645,no,no,0,57,115,129,3,1
VA,10,408,349-4396,no,no,0,112,66,57,6,2
UT,96,415,404-3211,no,no,0,117,67,68,5,2
WY,87,415,353-3759,no,no,0,83,116,127,3,5
IN,81,408,363-5947,no,no,0,67,85,98,3,1
CO,141,415,340-5121,no,no,0,98,62,128,2,1
CO,121,408,370-7574,no,yes,30,129,77,77,3,3
WI,68,415,403-9733,no,no,0,70,164,103,3,3
OK,125,408,355-7251,no,no,0,103,126,95,8,1
ID,174,408,359-5893,no,no,0,97,94,54,4,1
CA,116,415,405-3371,no,yes,34,83,142,106,3,2
MN,74,510,344-5117,no,yes,33,91,96,92,3,2
SD,149,408,332-8160,no,yes,28,92,64,53,3,3
NC,38,408,359-4081,no,no,0,98,97,106,6,2
WA,40,415,352-8305,no,yes,41,74,88,102,5,2
WY,43,415,329-9847,yes,no,0,105,104,67,4,0
MN,113,408,365-9011,yes,no,0,93,119,139,8,0
UT,126,408,338-9472,no,no,0,70,80,60,1,1
TX,150,510,374-8042,no,no,0,101,110,100,3,4
NJ,138,408,359-1231,no,no,0,93,83,104,7,3
MN,162,510,413-7170,no,yes,46,97,84,61,2,0
NM,147,510,415-2935,no,no,0,83,85,109,4,3
NV,90,415,399-4246,no,no,0,146,117,105,4,1
HI,85,415,362-5889,no,no,0,109,94,99,3,0
MN,50,415,350-8921,no,no,0,90,72,111,2,1
DC,82,415,374-5353,no,no,0,109,100,73,4,0
NY,144,408,360-1171,no,no,0,117,85,99,7,4
MN,46,415,355-8887,no,no,0,72,104,113,3,2
MD,70,408,333-1967,no,no,0,98,102,76,2,1
WV,144,415,354-4577,no,no,0,99,74,119,2,1
OR,116,415,331-7425,yes,no,0,104,79,109,5,3
CO,55,408,419-2637,no,yes,25,123,95,90,2,3
GA,70,415,411-1530,no,yes,24,101,98,68,4,1
TX,106,510,395-3026,no,no,0,96,85,88,1,2
VT,128,510,388-6441,no,yes,29,104,86,78,7,0
IN,94,408,402-1251,no,no,0,105,101,84,5,4
WV,111,510,412-9997,no,no,0,118,76,98,2,1
KY,74,415,346-7302,no,yes,35,104,84,57,9,2
NJ,128,415,358-9095,no,no,0,125,93,68,4,1
DC,82,510,400-9770,no,no,0,61,105,94,2,1
LA,155,415,334-1275,no,no,0,100,104,119,4,0
AR,80,415,340-4953,no,no,0,100,107,62,9,1
ME,78,415,400-9510,no,no,0,93,112,105,7,3
AZ,90,415,387-6103,no,no,0,71,81,91,7,3
AK,104,408,366-4467,no,no,0,106,113,137,5,1
MT,73,415,370-3450,no,no,0,110,72,72,4,0
AZ,99,415,327-3954,no,no,0,87,76,113,3,4
MS,120,408,355-6291,no,no,0,131,104,96,5,1
ID,77,415,362-9748,no,no,0,72,126,109,7,2
IA,98,510,379-6506,no,yes,21,114,83,92,8,4
MA,108,415,347-7741,no,no,0,137,76,102,5,0
VT,135,415,354-3783,no,no,0,82,105,100,6,0
KY,95,408,401-7594,no,no,0,99,106,102,9,1
IN,122,408,397-4976,no,no,0,94,109,75,2,1
AZ,95,408,334-2577,no,no,0,65,98,115,4,4
MI,36,510,400-3637,no,yes,29,102,76,113,6,2
NM,93,510,383-4361,no,yes,21,131,115,86,3,1
CO,141,415,371-4306,no,yes,32,91,97,142,1,1
UT,157,408,403-4298,no,no,0,90,121,108,7,3
MI,120,408,409-3786,no,no,0,100,83,86,8,1
MA,103,415,337-4697,no,no,0,117,94,91,2,2
AL,98,408,383-1509,no,no,0,117,113,113,4,4
DE,125,408,359-9794,no,no,0,108,90,114,7,1
AZ,63,415,407-7035,no,no,0,125,59,88,3,1
ME,36,510,363-1069,yes,yes,42,89,122,126,6,0
NJ,64,510,391-4652,no,no,0,83,109,122,3,1
NV,74,415,355-6837,no,no,0,114,48,115,4,1
MO,112,510,409-1244,no,yes,36,117,82,118,3,2
ID,97,408,328-3266,no,no,0,125,111,81,5,2
NE,46,408,352-7072,no,no,0,92,77,116,7,1
TX,41,408,370-7550,no,yes,22,102,86,123,3,0
MD,121,510,369-5526,no,no,0,103,117,103,4,3
MS,193,415,329-4391,no,no,0,124,95,89,3,1
NV,130,510,408-4195,no,no,0,119,98,117,5,2
AZ,85,408,354-4445,no,no,0,52,104,106,3,1
MS,162,415,335-4858,no,no,0,108,87,82,3,4
MS,61,510,414-8718,no,yes,27,124,103,129,6,4
TX,92,408,409-5939,no,no,0,90,123,86,4,2
